customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
QZ44356,Arizona,F,Bachelor,6979.5359,0.0,94.0,0.0,Personal Auto,Four-Door Car,1131.464935
AI49188,Nevada,F,Bachelor,12887.4317,48767.0,108.0,0.0,Personal Auto,Two-Door Car,566.472247
WW63253,California,M,Bachelor,7645.861800000001,0.0,106.0,0.0,Corporate Auto,SUV,529.881344
GA49547,Washington,M,High School or Below,5363.0765,36357.0,68.0,0.0,Personal Auto,Four-Door Car,17.269323
OC83172,Oregon,F,Bachelor,8256.2978,62902.0,69.0,0.0,Personal Auto,Two-Door Car,159.383042
XZ87318,Oregon,F,College,5380.8985999999995,55350.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
CF85061,Arizona,M,Master,7216.1003,0.0,101.0,0.0,Corporate Auto,Four-Door Car,363.02968
DY87989,Oregon,M,Bachelor,24127.504,14072.0,71.0,0.0,Corporate Auto,Four-Door Car,511.2
BQ94931,Oregon,F,College,7388.178100000001,28812.0,93.0,0.0,Special Auto,Four-Door Car,425.527834
SX51350,California,M,College,4738.992,0.0,67.0,0.0,Personal Auto,Four-Door Car,482.4
VQ65197,California,U,College,8197.1971,0.0,110.0,0.0,Personal Auto,SUV,528.0
DP39365,California,U,Master,8798.796999999999,77026.0,110.0,2.0,Corporate Auto,Four-Door Car,472.029737
SJ95423,Arizona,U,High School or Below,8819.018900000001,99845.0,110.0,1.0,Corporate Auto,SUV,528.0
IL66569,California,U,College,5384.4317,83689.0,70.0,2.0,Corporate Auto,Four-Door Car,307.139132
BW63560,Oregon,U,Bachelor,7463.139399999999,24599.0,64.0,1.0,Corporate Auto,Four-Door Car,42.920271
FV94802,Nevada,U,High School or Below,2566.8678,25049.0,67.0,0.0,Personal Auto,Two-Door Car,454.245098
OE15005,California,U,College,3945.2416,28855.0,101.0,0.0,Personal Auto,SUV,647.442031
WC83389,Oregon,U,College,5710.333100000001,51148.0,72.0,0.0,Personal Auto,Four-Door Car,308.981664
FL50705,California,U,High School or Below,8162.6170999999995,66140.0,101.0,0.0,Corporate Auto,Four-Door Car,484.8
ZK25313,Oregon,U,High School or Below,2872.0513,57749.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
QK46697,Washington,M,Bachelor,6177.1093,61040.0,79.0,1.0,Personal Auto,Two-Door Car,20.382876
YH23384,Arizona,U,Bachelor,24127.504,14072.0,71.0,0.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,U,Bachelor,2450.1910000000003,0.0,73.0,3.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,U,Bachelor,2392.1079,17870.0,61.0,0.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,U,College,5802.066,97541.0,72.0,0.0,Personal Auto,Four-Door Car,389.185006
US89481,California,U,Bachelor,3946.3721,0.0,111.0,0.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,College,9162.063199999999,29723.0,80.0,0.0,Personal Auto,Four-Door Car,20.985105
GE62437,Arizona,U,College,12902.5601,86584.0,111.0,2.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,U,Master,3235.3605,75690.0,80.0,1.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,U,College,2454.5835,23158.0,63.0,1.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,U,High School or Below,18975.4561,65999.0,237.0,0.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,U,Bachelor,4715.3213,0.0,65.0,0.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,College,4737.8717,0.0,130.0,0.0,Personal Auto,SUV,23.820158
SK67821,Oregon,U,Bachelor,4932.9163,37260.0,62.0,0.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,U,High School or Below,5744.2297,68987.0,71.0,0.0,Personal Auto,Four-Door Car,204.475147
